title	abstract	keywords	authors	venue	doi	references	pages	bibtex	source	year	meta_title	link	publisher
Role-Playing Computer Game to Improve Speech Ability of Down Syndrome Children	"Down syndrome individuals are known to have difficulties in speech, both in pronunciation of words and making
sentences, due to the innate physical impairment of their mouth muscles and their cognitive and intelligence
limitations. An interesting finding by other researchers shows that the vocabulary acquisition rates of these individuals fall
between the range of average to slow, and they hardly use good grammar, although they seem to have good
understanding of casual conversation. However, most research efforts have been dedicated to enhancing their words
recognition ability and computer applications have been developed for reading therapy, whereas the syntax and
expressive language training are rarely focused. In this paper, we propose the use of role playing computer game featuring
state-of-the-art speech recognition technology as an attempt to improve the speech accuracy of down syndrome children in
terms of grammar. The challenges involved the input received in coordinating the speech accuracy. We provide systematic
review on some of the base elements to consider while developing the game for the mildly-impaired down syndrome
individuals, which includes speech recognition technology, cognitive psychology, instructional design models, system
development life cycle, and multimedia in special education."	Down Syndrome; Multimedia Applications; Serious Game; Speech Training	Che Pee, A. N.; Abdullah, M. H. L.; Zakaria, M. H.; Asyrani, H.; Rahim, S. S.; Chuan, L. C.	International Journal of Advanced Trends in Computer Science and Engineering	https://www.warse.org/IJATCSE/static/pdf/file/ijatcse337942020.pdf				Google Scholar	2020	Role-Playing Computer Game To Improve Speech Ability Of Down Syndrome Children	https://www.warse.org/IJATCSE/static/pdf/file/ijatcse337942020.pdf	Warse
Usability evaluation of the domain specific language for spatial simulation scenarios	This article presents the results of a usability evaluation initiative conducted on the Domain Specific Language for Spatial Simulation Scenarios (short name DSL3S) and its supporting tools. This language applies a Model-Driven Development approach to spatial simulation, providing model development through the composition of graphical elements and the subsequent transformation to source code. Potential users trained in disciplines related to Geographic Information Systems were exposed for a first time to the language with an introductory exercise. After installing the supporting tools and developing a simple spatial simulation model, participants then evaluated the language and its tools by answering a questionnaire. The results of this evaluation point to a good degree of usability, with particularly positive appreciations of the DSL3S supporting tools. Notwithstanding, participants also show some reluctance in adopting such a development framework, hinting at some reminiscent scepticism towards domain specific modelling languages and Model-Driven Development.	spatial simulation; domain specific modelling language; UML profile; model-driven development; model driven architecture (MDA)	de Sousa, Luis Moreira; da Silva, Alberto Rodrigues	Cogent Engineering	https://doi.org/10.1080/23311916.2018.1436889				Google Scholar	2018	Usability Evaluation Of The Domain Specific Language For Spatial Simulation Scenarios	https://www.tandfonline.com/doi/full/10.1080/23311916.2018.1436889	Taylor & Francis
Stay Awhile and Listen to 3Buddy, a Co-creative Level Design Support Tool	"There is untapped potential in having a computer work as a colleague with the video game level designer as a source of
creative stimuli, instead of simply working as his slave. This paper presents 3Buddy, a co-creative level design tool exploring this digital peer paradigm, aimed at fostering creativity by allowing human and computer to work together in the context of level design, and describes a case study of the approach to
produce content using the Legend of Grimrock 2 level editor. Suggestions are generated and iteratively evolved by multiple inter-communicating genetic algorithms guiding three different domains: innovation (exploring new directions), guidelines (respecting specific design goals) and convergence (focusing on current co-proposal). The interface allows the designer to orient the tool behaviour in the space defined by these dimensions. This paper details the inner workings of the system and presents an exploratory study showing, on the one hand, how the tool was used differently by professional and amateur level designers, and on the other hand, how the nuances of the co-creative interaction through an intentionoriented interface may be a source of positive influence for the creative level design process."	Artificial intelligence; Computer games; Genetic algorithms; Iterative methods; Computer work; Design goal; Different domains; Exploratory studies; Level design; On currents; Tool behaviour; Video game levels; Design	Lucas, P.; Martinho, C.	Proceedings of the 8th International Conference on Computational Creativity, ICCC 2017	https://computationalcreativity.net/iccc2017/ICCC_17_accepted_submissions/ICCC-17_paper_12.pdf				Google Scholar	2017	Stay Awhile And Listen To 3Buddy, A Co-Creative Level Design Support Tool	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109115583&partnerID=40&md5=1e9d81c53be9976a39ee411ae64bf60b	INESC-ID and Instituto Superior T�cnico
Pricing and Upgrade Strategies for Software Vendors in the Software-as-a-Service Market 	"This study examines the competition between an independent software vendor (ISV) who offers a standard fixed-price software product and a cloud software vendor (CSV)
who adopts a usage-based linear pricing scheme for its cloud-based software. Using a game theoretic approach, we set up a duopoly model to derive the optimal pricing and
product feature choice decisions for both the ISV and the CSV in a market characterized with heterogeneous consumer preferences for software features, and different risk
structures. Next, we plan to extend the duopoly model into a two-stage game and examine how the equilibrium outcomes change when we allow both vendors to exercise
their software upgrade strategies. The results of our study will provide important implications to vendors and consumers in software markets where the Software-as-aService (SaaS) business model began to prevail and contribute to the growing literature on economics of cloud computing. "	Cloud computing; Commerce; Competition; Computation theory; Computer games; Costs; Economic analysis; Game theory; Information systems; Information use; Web services; Business modeling; Consumer preferences; Economics of cloud computing; Economics of information; Independent software vendors; Price-analysis; SaaS; Software features; Software as a service (SaaS)	Liu, C. Z.; Au, Y. A.; Ayaburi, E.	Thirty Sixth International Conference on Information Systems	https://web.archive.org/web/20160130133525id_/http://aisel.aisnet.org:80/cgi/viewcontent.cgi?article=1411&context=icis2015		11		Google Scholar	2015	Pricing And Upgrade Strategies For Software Vendors In The Software-As-A-Service Market	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107082355&partnerID=40&md5=66888e78193af9d8426263327ef7ab26	Fort Wort
Kinematic Simulation of a Line Follower Robot for the Creation of the Programming Videogame Rusty Roads in the Unity Framework	This paper presents the results of a research project for developing Rusty Roads, a videogame that simulates line follower robots in tridimensional, competitive environments. During the software development process, it was necessary to define the key physical factors that could affect the performance of the robot. A real robot was considered to define real parameters for the simulation, and to define discrete equations for simulating the robot in the Unity framework, comparing their accuracy with that of continuous, exact equations specifically developed for this study. This paper presents the process for obtaining and testing those equations, which were the foundations for the successful development of the simulation layer of the videogame and allowed the subsequent creation of its 3D visualization component.	video games; simulation; robotics; line followers; mechanics; robot	Oscar F. Gomez; Urbano E. Gomez	Informacion tecnologica	http://dx.doi.org/10.4067/S0718-07642017000500008				Google Scholar	2017	Simulaciã³N Cinemã¡Tica De Un Robot Seguidor De Lã­Nea Para El Desarrollo Del Videojuego De Programaciã³N Rusty Roads En El Framework Unity	https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642017000500008&lng=en&nrm=iso&tlng=en	SciELO
Network Time Protocol Version 4: Protocol and Algorithms Specification	The Network Time Protocol (NTP) is widely used to synchronize computer clocks in the Internet. This document describes NTP version 4 (NTPv4), which is backwards compatible with NTP version 3 (NTPv3), described in RFC 1305, as well as previous versions of the protocol. NTPv4 includes a modified protocol header to accommodate the Internet Protocol version 6 address family. NTPv4 includes fundamental improvements in the mitigation and discipline algorithms that extend the potential accuracy to the tens of microseconds with modern workstations and fast LANs. It includes a dynamic server discovery scheme, so that in many cases, specific server configuration is not required. It corrects certain errors in the NTPv3 design and implementation and includes an optional extension mechanism. [STANDARDS-TRACK]		Mills, D.; J. Martin, Ed.; Burbank, J.; Kasch, W.		https://doi.org/10.17487/RFC5905				Google Scholar	2010	Network Time Protocol Version 4: Protocol and Algorithms Specification	https://www.rfc-editor.org/info/rfc5905	RFC Editor
The Design, Play, and Experience Framework	This chapter introduces a framework for the design of serious games for learning, called the design, play, and experience framework. The author argues that the great potential of serious games will not be realized without a formal design approach. To that end, the author presents and thoroughly explains the design, play, and experience framework which provides a formal approach to designing the learning, storytelling, game play, user experience, and technology components of a serious game. The author concludes by detailing how the framework provides a common language to discuss serious game design, a methodology to analyze a design, and a process to design a serious game for learning.	Prototyping; Serious Games; Iterative Game Design; Heart of Serious Game Design; Exogenous Educational Games; Balancing; Endogenous Educational Games; Game Design; Game Mechanics; Game Dynamics	Winn, Brian	Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 7, Issue CHI PLAY	https://doi.org/10.4018/978-1-59904-808-6.CH058		15		Google Scholar	2009	The Design, Play, and Experience Framework	https://www.igi-global.com/chapter/design-play-experience-framework/20133	IGI Global Reasearch
"From Knowing It to ""Getting It"": Envisioning Practices in Computer Games Development"	The development of information systems and software applications increasingly needs to deliver culturally rich and affective experiences for user groups. In this paper, we explore how the collaborative practices across different expert groups can enable this experiential dimension of use to be integrated into the development of a software product. In an empirical study of computer games development�an arena in which the novelty and richness of the user experience is central to competitive success�we identify the challenges of conceptualizing and realizing a desired user experience when it cannot be readily specified in an initial design template, nor represented within the expertise of existing groups. Our study develops a theoretical framework to address these challenges. Through this framework, we are able to show how achieving a desired user experience requires developer groups to not only work across the boundaries that arise from specialized expertise, but also across wider fields centred on cultural production and software development, respectively. We find that their ability to do this is supported by distinctive �envisioning practices� that sustain an emerging shared �vision� for each game. The key research contributions that we then make are (a) grounding envisioning practices as a means of theorizing the collaborative practices centred on conceptualizing the user experience; (b) identifying how these practices are interwoven with the �producing practices� of software development, thus enabling collaboration to span expert groups and disparate fields; and (c) theorizing the role of vision as an emerging conceptual boundary object in these practices.	collaborative practice; envizioning; interpretive; computer games development; emergence	Nandhakumar, Joe; Panourgias, Nikiforos S.; Scarbrough, Harry	Information Systems Research	https://doi.org/10.1287/isre.2013.0482		933-955		Google Scholar	2013	From Knowing It to �Getting It�: Envisioning Practices in Computer Games Development	https://pubsonline.informs.org/doi/10.1287/isre.2013.0482	Institute for Operations Research and the Management Sciences
"Controlling the uncontrollable: ""Agile"" teams and illusions of autonomy in creative work"	The creative industries have recently been hailed as presenting a liberating model for the future of work and a valuable terrain on which to examine purported new regimes of workplace control. This article, based on the empirical examination of a Canadian video game development studio, traces the modes of control which operate on and through project teams in creative settings. The impact of the adoption of an �emancipatory�, post-bureaucratic project management technology, �Agile�, is critically examined through interviews and non-participative observation of management, technical and artistic labour within one project team. The potential for autonomy in such �Agile� teams is critically assessed within the managerial regime of creative production and the broader power relations implied by the financial, organizational and institutional context.		Hodgson, Damian; Briand, Louise	Work, Employment and Society	https://doi.org/10.1177/0950017012460315				Google Scholar	2013	Controlling the uncontrollable: �Agile� teams and illusions of autonomy in creative work	https://journals.sagepub.com/doi/full/10.1177/0950017012460315?casa_token=G-C_d0fPy78AAAAA%3Ayy58QtV0Slb683uh32WHxvq99ydiee92W1YtKcnNS66g2zzSjw2H44cE8Y8D9oZ6QJXlDUugspYDymo	Sage Journals
"The politics of ""platforms"""	Online content providers such as YouTube are carefully positioning themselves to users, clients, advertisers and policymakers, making strategic claims for what they do and do not do, and how their place in the information landscape should be understood. One term in particular, �platform�, reveals the contours of this discursive work. The term has been deployed in both their populist appeals and their marketing pitches, sometimes as technical �platforms�, sometimes as �platforms� from which to speak, sometimes as �platforms� of opportunity. Whatever tensions exist in serving all of these constituencies are carefully elided. The term also fits their efforts to shape information policy, where they seek protection for facilitating user expression, yet also seek limited liability for what those users say. As these providers become the curators of public discourse, we must examine the roles they aim to play, and the terms by which they hope to be judged.		Gillespie, Tarleton	New Media & Society	https://doi.org/10.1177/1461444809342738				Google Scholar	2010	A Companion to New Media Dynamics - The politics of �platforms�	https://journals.sagepub.com/doi/10.1177/1461444809342738	Sage Journals
