key	project	title	abstract	keywords	authors	venue	doi	references	pages	bibtex	screened_decision	final_decision	mode	inclusion_criteria	exclusion_criteria	reviewer_count	source	year	meta_title	link	publisher	metadata_missing
0	DTCPS	Fiber orientation measurement from mesoscale CT scans of prepreg platelet molded composites	"X-ray computed tomography (CT) analysis is used to measure the heterogeneous fiber orientation fields in a 20 cm3 composite bracket made from prepreg platelet-based molding compound (PPMC). The as-molded mesostructure of the complete geometry is captured using material density gradients in 50 um resolution CT scans without the need to resolve individual fibers. Fiber collimation and physical density gradients within intact platelets of this material system facilitates nondestructive assessment of average local fiber orientation at the component scale. Microscopy-based validation of the local orientation measurements indicate the accuracy that can be attained utilizing the density-based structure tensor CT analysis method. Local orientation field measurements for the complete geometry can be mapped into a ""digital twin"" model, for purposes such as experimental performance simulation and validation of molding process orientation state predictions. Composite designers, analysts, and material suppliers can employ this methodology to more confidently utilize PPMCs and morphologically similar composite material systems."	A. Prepreg;  B. Directional orientation;  D. CT analysis;  E. Compression moulding	Denos, Benjamin R.; Sommer, Drew E.; Favaloro, Anthony J.; Pipes, R. Byron; Avery, William B.	Composites Part A: Applied Science and Manufacturing	https://www.sciencedirect.com/science/article/pii/S1359835X18303403		241-249	"@article{DENOS2018241,
    author = ""Denos, Benjamin R. and Sommer, Drew E. and Favaloro, Anthony J. and Pipes, R. Byron and Avery, William B."",
    title = ""Fiber orientation measurement from mesoscale CT scans of prepreg platelet molded composites"",
    journal = ""Composites Part A: Applied Science and Manufacturing"",
    volume = ""114"",
    pages = ""241-249"",
    year = ""2018"",
    issn = ""1359-835X"",
    doi = ""https://doi.org/10.1016/j.compositesa.2018.08.024"",
    url = ""https://www.sciencedirect.com/science/article/pii/S1359835X18303403"",
    keywords = ""A. Prepreg, B. Directional orientation, D. CT analysis, E. Compression moulding"",
    abstract = ""X-ray computed tomography (CT) analysis is used to measure the heterogeneous fiber orientation fields in a 20 cm3 composite bracket made from prepreg platelet-based molding compound (PPMC). The as-molded mesostructure of the complete geometry is captured using material density gradients in 50 um resolution CT scans without the need to resolve individual fibers. Fiber collimation and physical density gradients within intact platelets of this material system facilitates nondestructive assessment of average local fiber orientation at the component scale. Microscopy-based validation of the local orientation measurements indicate the accuracy that can be attained utilizing the density-based structure tensor CT analysis method. Local orientation field measurements for the complete geometry can be mapped into a ""digital twin"" model, for purposes such as experimental performance simulation and validation of molding process orientation state predictions. Composite designers, analysts, and material suppliers can employ this methodology to more confidently utilize PPMCs and morphologically similar composite material systems.""
}"	Excluded	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2018.0	Fiber orientation measurement from mesoscale CT scans of prepreg platelet molded composites	https://www.sciencedirect.com/science/article/pii/S1359835X18303403	Science Direct	nan; References
1	DTCPS	Digital twins in smart farming	Highlights*Analyses how Digital Twins can advance smart farming.*Defines the concept and develops a typology of different types of Digital Twins.*Proposes a conceptual framework for designing and implementing Digital Twins.*Validated in a multiple case study as part of the European IoF2020 project.	Smart agriculture; Internet of things; Farm management systems; Remote sensing and control; Virtualization	Cor Verdouw and Bedir Tekinerdogan and Adrie Beulens and Sjaak Wolfert	Agricultural Systems	https://doi.org/10.1016/j.agsy.2020.103046		me 189,April 2021, 103046		Included	Excluded	new_screen	IC1: A least one testing technique is described		2	ScienceDirect	2021.0	Digital twins in smart farming	https://doi.org/10.1016/j.agsy.2020.103046	Science Direct	nan; Authors; References; Year; Bibtex
2	DTCPS	Exploring critical success factors influencing adoption of digital twin and physical internet in electronics industry using grey-DEMATEL approach	Digital twin and physical internet adoption based on advanced digital technologies is gaining significance in the recent times. Digital twin is one of the enabling technologies that link actual physical system with its virtual depiction using advanced digital technologies. In order to leverage its potential, firms have instigated to adopt digital twin and physical internet for real-world applications. Although researches on impact of information technology in supply chains exists, a study on the modelling aspects by analysing critical success factors for adoption of digital twin and physical internet is limited. We have addressed this gap by developing a structural model for identifying the inter-relationships and cause effect parameters of critical success factors for adoption of digital twin and physical internet. Thirteen critical success factors were shortlisted based on literature review and in consultation with experts. An integrated Grey- based, decision making trial and evaluation laboratory (DEMATEL)is used to visualize the causal relationships among critical success factors and verified by applying the proposed model in an electronics manufacturing firm. Sensitivity analysis has been done to check accuracy of results and robustness of the study. The results reveal that top management commitment and support and long, medium and short term planning are the most influential factors impacting the adoption of digital twin and physical internet in electronics industry. Findings of this research provide insights for supply chain managers and academicians by identifying the cause and effect group critical success factors for effective adoption of digital twin and physical internet.	Digital Twin;  Digital Manufacturing;  e-Manufacturing;  Critical Success factors;  Grey-DEMATEL	Deepu, T.S.; Ravi, V.	Digital Business	https://www.sciencedirect.com/science/article/pii/S2666954421000089		100009	"@article{DEEPU2021100009,
    author = ""Deepu, T.S. and Ravi, V."",
    title = ""Exploring critical success factors influencing adoption of digital twin and physical internet in electronics industry using grey-DEMATEL approach"",
    journal = ""Digital Business"",
    volume = ""1"",
    number = ""2"",
    pages = ""100009"",
    year = ""2021"",
    issn = ""2666-9544"",
    doi = ""https://doi.org/10.1016/j.digbus.2021.100009"",
    url = ""https://www.sciencedirect.com/science/article/pii/S2666954421000089"",
    keywords = ""Digital Twin, Digital Manufacturing, e-Manufacturing, Critical Success factors, Grey-DEMATEL"",
    abstract = ""Digital twin and physical internet adoption based on advanced digital technologies is gaining significance in the recent times. Digital twin is one of the enabling technologies that link actual physical system with its virtual depiction using advanced digital technologies. In order to leverage its potential, firms have instigated to adopt digital twin and physical internet for real-world applications. Although researches on impact of information technology in supply chains exists, a study on the modelling aspects by analysing critical success factors for adoption of digital twin and physical internet is limited. We have addressed this gap by developing a structural model for identifying the inter-relationships and cause effect parameters of critical success factors for adoption of digital twin and physical internet. Thirteen critical success factors were shortlisted based on literature review and in consultation with experts. An integrated Grey- based, decision making trial and evaluation laboratory (DEMATEL)is used to visualize the causal relationships among critical success factors and verified by applying the proposed model in an electronics manufacturing firm. Sensitivity analysis has been done to check accuracy of results and robustness of the study. The results reveal that top management commitment and support and long, medium and short term planning are the most influential factors impacting the adoption of digital twin and physical internet in electronics industry. Findings of this research provide insights for supply chain managers and academicians by identifying the cause and effect group critical success factors for effective adoption of digital twin and physical internet.""
}"	Excluded	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2021.0	Exploring critical success factors influencing adoption of digital twin and physical internet in electronics industry using grey-DEMATEL approach	https://www.sciencedirect.com/science/article/pii/S2666954421000089	Science Direct	nan; References
3	DTCPS	Error identification of measurement software based on digital twin of gear measuring center	The verification of measurement software has become a challenge as more types of workpiece being measured with gear measuring centers and the increasing complexity of measurement software. In this research, the digital twin of a gear measuring center (DTGMC) was constructed as an evaluation platform for various types of measurement software. Various digital workpieces instead of physical artifacts were measured on the DTGMC. Based on this platform, the evaluation methods for the measurement software were discussed, and three experiments were carried out. The involute measurement model was identified using multiple digital workpieces with known errors. The probe compensation algorithm was identified using different radii probes and a pin. Three position compensation algorithms were also verified using loading different motion errors. The results showed that the evaluation methods based on the DTGMC could effectively identify various errors in measurement software, providing a new concept for the independent evaluation of measurement software.	Measurement software;  Digital twin of gear measuring center;  Evaluation method;  Entity model;  Error identification	Lu, Chunxia; Wang, Jianhua; Yin, Peili; Wang, Linyan	Measurement	https://www.sciencedirect.com/science/article/pii/S0263224120311787		108666	"@article{LU2021108666,
    author = ""Lu, Chunxia and Wang, Jianhua and Yin, Peili and Wang, Linyan"",
    title = ""Error identification of measurement software based on digital twin of gear measuring center"",
    journal = ""Measurement"",
    volume = ""173"",
    pages = ""108666"",
    year = ""2021"",
    issn = ""0263-2241"",
    doi = ""https://doi.org/10.1016/j.measurement.2020.108666"",
    url = ""https://www.sciencedirect.com/science/article/pii/S0263224120311787"",
    keywords = ""Measurement software, Digital twin of gear measuring center, Evaluation method, Entity model, Error identification"",
    abstract = ""The verification of measurement software has become a challenge as more types of workpiece being measured with gear measuring centers and the increasing complexity of measurement software. In this research, the digital twin of a gear measuring center (DTGMC) was constructed as an evaluation platform for various types of measurement software. Various digital workpieces instead of physical artifacts were measured on the DTGMC. Based on this platform, the evaluation methods for the measurement software were discussed, and three experiments were carried out. The involute measurement model was identified using multiple digital workpieces with known errors. The probe compensation algorithm was identified using different radii probes and a pin. Three position compensation algorithms were also verified using loading different motion errors. The results showed that the evaluation methods based on the DTGMC could effectively identify various errors in measurement software, providing a new concept for the independent evaluation of measurement software.""
}"	Excluded	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2021.0	Error identification of measurement software based on digital twin of gear measuring center	https://www.sciencedirect.com/science/article/pii/S0263224120311787	Science Direct	nan; References
4	DTCPS	Energy-efficient cyber-physical production network: Architecture and technologies	Highlights*Highlighted energy-efficient manufacturing challenges in Industry 4.0 environment.*Proposed the architecture for energy-efficient manufacturing in an open cyber-physical production network.*Discussed two key enabling implementation technologies, product data representation and digital twin data model.*Developed a system prototype and case study to validate the feasibility of the solution.		Yuqian Lu and Tao Peng and Xun Xu	Computers & Industrial Engineering	https://doi.org/10.1016/j.cie.2019.01.025		56-66		Included	Excluded	new_screen	IC1: A least one testing technique is described		2	ScienceDirect	2019.0	Energy-efficient cyber-physical production network: Architecture and technologies	https://doi.org/10.1016/j.cie.2019.01.025	Science Direct	nan; Authors; Keywords; References; Year; Bibtex
5	DTCPS	Digital twins-based remote semi-physical commissioning of flow-type smart manufacturing systems	The COVID-19 has become a global pandemic that dramatically impacted human lives and economic activities. Due to the high risk of getting affected in high-density population areas and the implementation of national emergency measures under the COVID-19 pandemic, both travel and transportation among cities become difficult for engineers and equipment. Consequently, the costly physical commissioning of a new manufacturing system is greatly hindered. As an emerging technology, digital twins can achieve semi-physical simulation to avoid the vast cost of physical commissioning of the manufacturing system. Therefore, this paper proposes a digital twins-based remote semi-physical commissioning (DT-RSPC) approach for open architecture flow-type smart manufacturing systems. A digital twin system is developed to enable the remote semi-physical commissioning. The proposed approach is validated through a case study of digital twins-based remote semi-physical commissioning of a smartphone assembly line. The results showed that combining the open architecture design paradigm with the proposed digital twins-based approach makes the commissioning of a new flow-type smart manufacturing system more sustainable.	COVID-19 pandemic;  Digital twins;  Manufacturing system commissioning;  Smart manufacturing;  Remote semi-physical commissioning	Leng, Jiewu; Zhou, Man; Xiao, Yuxuan; Zhang, Hu; Liu, Qiang; Shen, Weiming; Su, Qianyi; Li, Longzhang	Journal of Cleaner Production	https://www.sciencedirect.com/science/article/pii/S0959652621014979		127278	"@article{LENG2021127278,
    author = ""Leng, Jiewu and Zhou, Man and Xiao, Yuxuan and Zhang, Hu and Liu, Qiang and Shen, Weiming and Su, Qianyi and Li, Longzhang"",
    title = ""Digital twins-based remote semi-physical commissioning of flow-type smart manufacturing systems"",
    journal = ""Journal of Cleaner Production"",
    volume = ""306"",
    pages = ""127278"",
    year = ""2021"",
    issn = ""0959-6526"",
    doi = ""https://doi.org/10.1016/j.jclepro.2021.127278"",
    url = ""https://www.sciencedirect.com/science/article/pii/S0959652621014979"",
    keywords = ""COVID-19 pandemic, Digital twins, Manufacturing system commissioning, Smart manufacturing, Remote semi-physical commissioning"",
    abstract = ""The COVID-19 has become a global pandemic that dramatically impacted human lives and economic activities. Due to the high risk of getting affected in high-density population areas and the implementation of national emergency measures under the COVID-19 pandemic, both travel and transportation among cities become difficult for engineers and equipment. Consequently, the costly physical commissioning of a new manufacturing system is greatly hindered. As an emerging technology, digital twins can achieve semi-physical simulation to avoid the vast cost of physical commissioning of the manufacturing system. Therefore, this paper proposes a digital twins-based remote semi-physical commissioning (DT-RSPC) approach for open architecture flow-type smart manufacturing systems. A digital twin system is developed to enable the remote semi-physical commissioning. The proposed approach is validated through a case study of digital twins-based remote semi-physical commissioning of a smartphone assembly line. The results showed that combining the open architecture design paradigm with the proposed digital twins-based approach makes the commissioning of a new flow-type smart manufacturing system more sustainable.""
}"	Included	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2021.0	Digital twins-based remote semi-physical commissioning of flow-type smart manufacturing systems	https://www.sciencedirect.com/science/article/pii/S0959652621014979	Science Direct	nan; References
6	DTCPS	Digital twin-based smart assembly process design and application framework for complex products and its case study	With rapid advances in new generation information technologies, digital twin (DT), and cyber-physical system, smart assembly has become a core focus for intelligent manufacturing in the fourth industrial evolution. Deep integration between information and physical worlds is a key phase to develop smart assembly process design that bridge the gap between product assembly design and manufacturing. This paper presents a digital twin reference model for smart assembly process design, and proposes an application framework for DT-based smart assembly with three layers. Product assembly station components are detailed in the physical space layer; two main modules, communication connection and data processing, are introduced in the interaction layer; and we discuss working mechanisms of assembly process planning, simulation, predication, and control management in the virtual space layer in detail. A case study shows the proposed approach application for an experimental simplified satellite assembly case using the DT-based assembly application system (DT-AAS) to verify the proposed application framework and method effectiveness.	Smart assembly;  Digital twin;  Cyber-physical system;  Assembly process design;  Complex product;  Application framework	Yi, Yang; Yan, Yuehui; Liu, Xiaojun; Ni, Zhonghua; Feng, Jindan; Liu, Jinshan	Journal of Manufacturing Systems	https://www.sciencedirect.com/science/article/pii/S0278612520300571		94-107	"@article{YI202194,
    author = ""Yi, Yang and Yan, Yuehui and Liu, Xiaojun and Ni, Zhonghua and Feng, Jindan and Liu, Jinshan"",
    title = ""Digital twin-based smart assembly process design and application framework for complex products and its case study"",
    journal = ""Journal of Manufacturing Systems"",
    volume = ""58"",
    pages = ""94-107"",
    year = ""2021"",
    note = ""Digital Twin towards Smart Manufacturing and Industry 4.0"",
    issn = ""0278-6125"",
    doi = ""https://doi.org/10.1016/j.jmsy.2020.04.013"",
    url = ""https://www.sciencedirect.com/science/article/pii/S0278612520300571"",
    keywords = ""Smart assembly, Digital twin, Cyber-physical system, Assembly process design, Complex product, Application framework"",
    abstract = ""With rapid advances in new generation information technologies, digital twin (DT), and cyber-physical system, smart assembly has become a core focus for intelligent manufacturing in the fourth industrial evolution. Deep integration between information and physical worlds is a key phase to develop smart assembly process design that bridge the gap between product assembly design and manufacturing. This paper presents a digital twin reference model for smart assembly process design, and proposes an application framework for DT-based smart assembly with three layers. Product assembly station components are detailed in the physical space layer; two main modules, communication connection and data processing, are introduced in the interaction layer; and we discuss working mechanisms of assembly process planning, simulation, predication, and control management in the virtual space layer in detail. A case study shows the proposed approach application for an experimental simplified satellite assembly case using the DT-based assembly application system (DT-AAS) to verify the proposed application framework and method effectiveness.""
}"	Included	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2021.0	Digital twin-based smart assembly process design and application framework for complex products and its case study	https://www.sciencedirect.com/science/article/pii/S0278612520300571	Science Direct	nan; References
7	DTCPS	Digital twin for battery systems: Cloud battery management system with online state-of-charge and state-of-health estimation	Battery management is critical to enhancing the safety, reliability, and performance of the battery systems. This paper presents a cloud battery management system for battery systems to improve the computational power and data storage capability by cloud computing. With the Internet of Things, all battery relevant data are measured and transmitted to the cloud seamlessly, building up the digital twin for the battery system, where battery diagnostic algorithms evaluate the data and open the window into battery's charge and aging level. The application of equivalent circuit models in the digital twin for battery systems is explored with the development of cloud-suited state-of-charge and state-of-health estimation approaches. The proposed state-of-charge estimation with an adaptive extended H-infinity filter is robust and accurate for both lithium-ion and lead-acid batteries, even with a significant initialization error. Furthermore, a state-of-health estimation algorithm with particle swarm optimization is innovatively exploited to monitor both capacity fade and power fade of the battery during aging. The functionalities and stability of both hardware and software of the cloud battery management system are validated with prototypes under field operation and experimental validation for both stationary and mobile applications.	Digital twin;  Cloud computing;  Internet of things;  Battery management system;  State of charge;  State of health	Li, Weihan; Rentemeister, Monika; Badeda, Julia; Jost, Dominik; Schulte, Dominik; Sauer, Dirk Uwe	Journal of Energy Storage	https://www.sciencedirect.com/science/article/pii/S2352152X20308495		101557	"@article{LI2020101557,
    author = ""Li, Weihan and Rentemeister, Monika and Badeda, Julia and Jost, Dominik and Schulte, Dominik and Sauer, Dirk Uwe"",
    title = ""Digital twin for battery systems: Cloud battery management system with online state-of-charge and state-of-health estimation"",
    journal = ""Journal of Energy Storage"",
    volume = ""30"",
    pages = ""101557"",
    year = ""2020"",
    issn = ""2352-152X"",
    doi = ""https://doi.org/10.1016/j.est.2020.101557"",
    url = ""https://www.sciencedirect.com/science/article/pii/S2352152X20308495"",
    keywords = ""Digital twin, Cloud computing, Internet of things, Battery management system, State of charge, State of health"",
    abstract = ""Battery management is critical to enhancing the safety, reliability, and performance of the battery systems. This paper presents a cloud battery management system for battery systems to improve the computational power and data storage capability by cloud computing. With the Internet of Things, all battery relevant data are measured and transmitted to the cloud seamlessly, building up the digital twin for the battery system, where battery diagnostic algorithms evaluate the data and open the window into battery's charge and aging level. The application of equivalent circuit models in the digital twin for battery systems is explored with the development of cloud-suited state-of-charge and state-of-health estimation approaches. The proposed state-of-charge estimation with an adaptive extended H-infinity filter is robust and accurate for both lithium-ion and lead-acid batteries, even with a significant initialization error. Furthermore, a state-of-health estimation algorithm with particle swarm optimization is innovatively exploited to monitor both capacity fade and power fade of the battery during aging. The functionalities and stability of both hardware and software of the cloud battery management system are validated with prototypes under field operation and experimental validation for both stationary and mobile applications.""
}"	Included	Included	new_screen			2	Scopus Signed In	2020.0	Digital twin for battery systems: Cloud battery management system with online state-of-charge and state-of-health estimation	https://www.sciencedirect.com/science/article/pii/S2352152X20308495	Science Direct	nan; References
8	DTCPS	Digital twin-enabled Graduation Intelligent Manufacturing System for fixed-position assembly islands	The layout of fixed-position assembly islands is widely used in the heavy equipment industry, where the product remains at one assembly island for its entire assembly period, while required workers, equipment, and materials are moved to the island according to the assembly plan. Such layout is not only suitable for producing bulky or fragile products, but also offers considerable flexibility and competitive operational efficiency for products with medium variety and volumes. However, due to inherent complexity of the product, sophisticated assembly operations heavily rely on skilled operators, and the complexity and uncertainty are high and amplified by such massive manual interventions as well as the unique routing patterns of the fixed-position assembly process. Aiming at reducing the complexity and uncertainty, this paper introduces a digital twin-enabled Graduation Intelligent Manufacturing System (DT-GiMS) for fixed-position assembly islands. Inspired by the success of graduation ceremony, an assembly system-Graduation Manufacturing System (GMS) is proposed for fixed-position assembly islands, in which job tickets, setup tickets, operation tickets, and logistics tickets are designed to organize the production activities. Following the concept of digital twin, unified digital representations with appropriate sets of information are created at object level, product level, and system level, respectively. Through Internet of Things (IoT), smart gateway, Web 3D and industrial wearable technologies, vital information including identity, status, geometric model, and production process can be captured and mapped in physical space, and converged and synchronized with their digital representations in twin (cloud) space on a real-time basis. The overall framework of DT-GiMS is presented with physical layer, digital layer, and service layer. Real-time convergence and synchronization among them ensure that right resources are allocated and utilized to the right activities at the right time with enhanced visibility. Considering customer demand and production capacity constraints, real-time ticket pool management mechanisms are proposed to manage production activities in a near-optimal way under DT-GiMS. With the support of cloud-based services provided in service layer in DT-GiMS, managers could easily make production decisions, and onsite operators could efficiently complete their daily tasks with nearly error-free operations with enhanced visibility. A demonstrative case is carried out to verify the effectiveness of the proposed concept and approach.	Digital twin;  Intelligent manufacturing system;  Fixed-position assembly;  Cloud-based services;  Real-time synchronization	Guo, Daqiang; Zhong, Ray Y.; Lin, Peng; Lyu, Zhongyuan; Rong, Yiming; Huang, George Q.	Robotics and Computer-Integrated Manufacturing	https://www.sciencedirect.com/science/article/pii/S0736584519304405		101917	"@article{GUO2020101917,
    author = ""Guo, Daqiang and Zhong, Ray Y. and Lin, Peng and Lyu, Zhongyuan and Rong, Yiming and Huang, George Q."",
    title = ""Digital twin-enabled Graduation Intelligent Manufacturing System for fixed-position assembly islands"",
    journal = ""Robotics and Computer-Integrated Manufacturing"",
    volume = ""63"",
    pages = ""101917"",
    year = ""2020"",
    issn = ""0736-5845"",
    doi = ""https://doi.org/10.1016/j.rcim.2019.101917"",
    url = ""https://www.sciencedirect.com/science/article/pii/S0736584519304405"",
    keywords = ""Digital twin, Intelligent manufacturing system, Fixed-position assembly, Cloud-based services, Real-time synchronization"",
    abstract = ""The layout of fixed-position assembly islands is widely used in the heavy equipment industry, where the product remains at one assembly island for its entire assembly period, while required workers, equipment, and materials are moved to the island according to the assembly plan. Such layout is not only suitable for producing bulky or fragile products, but also offers considerable flexibility and competitive operational efficiency for products with medium variety and volumes. However, due to inherent complexity of the product, sophisticated assembly operations heavily rely on skilled operators, and the complexity and uncertainty are high and amplified by such massive manual interventions as well as the unique routing patterns of the fixed-position assembly process. Aiming at reducing the complexity and uncertainty, this paper introduces a digital twin-enabled Graduation Intelligent Manufacturing System (DT-GiMS) for fixed-position assembly islands. Inspired by the success of graduation ceremony, an assembly system-Graduation Manufacturing System (GMS) is proposed for fixed-position assembly islands, in which job tickets, setup tickets, operation tickets, and logistics tickets are designed to organize the production activities. Following the concept of digital twin, unified digital representations with appropriate sets of information are created at object level, product level, and system level, respectively. Through Internet of Things (IoT), smart gateway, Web 3D and industrial wearable technologies, vital information including identity, status, geometric model, and production process can be captured and mapped in physical space, and converged and synchronized with their digital representations in twin (cloud) space on a real-time basis. The overall framework of DT-GiMS is presented with physical layer, digital layer, and service layer. Real-time convergence and synchronization among them ensure that right resources are allocated and utilized to the right activities at the right time with enhanced visibility. Considering customer demand and production capacity constraints, real-time ticket pool management mechanisms are proposed to manage production activities in a near-optimal way under DT-GiMS. With the support of cloud-based services provided in service layer in DT-GiMS, managers could easily make production decisions, and onsite operators could efficiently complete their daily tasks with nearly error-free operations with enhanced visibility. A demonstrative case is carried out to verify the effectiveness of the proposed concept and approach.""
}"	Included	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2020.0	Digital twin-enabled Graduation Intelligent Manufacturing System for fixed-position assembly islands	https://www.sciencedirect.com/science/article/pii/S0736584519304405	Science Direct	nan; References
9	DTCPS	Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model	Increasing individualization demands in products call for high flexibility in the manufacturing systems to adapt changes. This paper proposes a novel digital twin-driven approach for rapid reconfiguration of automated manufacturing systems. The digital twin comprises two parts, the semi-physical simulation that maps data of the system and provides input data to the second part, which is optimization. The results of the optimization part are fed back to the semi-physical simulation for verification. Open-architecture machine tool (OAMT) is defined and developed as a new class of machine tools comprising a fixed standard platform and various individualized modules that can be added and rapidly swapped. Engineers can flexibly reconfigure the manufacturing system for catering to process planning by integrating personalized modules into its OAMTs. Key enabling techniques, including how to twin cyber and physical system and how to quickly bi-level program the production capacity and functionality of manufacturing systems to adapt rapid changes of products, are detailed. A physical implementation is conducted to verify the effectiveness of the proposed approach to achieving improved system performance while minimizing the overheads of the reconfiguration process by automating and rapidly optimizing it.	Digital twin;  Reconfigurable manufacturing system;  Open architecture;  Cyber-physical system;  Industrial internet of things;  Smart manufacturing	Leng, Jiewu; Liu, Qiang; Ye, Shide; Jing, Jianbo; Wang, Yan; Zhang, Chaoyang; Zhang, Ding; Chen, Xin	Robotics and Computer-Integrated Manufacturing	https://www.sciencedirect.com/science/article/pii/S073658451930167X		101895	"@article{LENG2020101895,
    author = ""Leng, Jiewu and Liu, Qiang and Ye, Shide and Jing, Jianbo and Wang, Yan and Zhang, Chaoyang and Zhang, Ding and Chen, Xin"",
    title = ""Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model"",
    journal = ""Robotics and Computer-Integrated Manufacturing"",
    volume = ""63"",
    pages = ""101895"",
    year = ""2020"",
    issn = ""0736-5845"",
    doi = ""https://doi.org/10.1016/j.rcim.2019.101895"",
    url = ""https://www.sciencedirect.com/science/article/pii/S073658451930167X"",
    keywords = ""Digital twin, Reconfigurable manufacturing system, Open architecture, Cyber-physical system, Industrial internet of things, Smart manufacturing"",
    abstract = ""Increasing individualization demands in products call for high flexibility in the manufacturing systems to adapt changes. This paper proposes a novel digital twin-driven approach for rapid reconfiguration of automated manufacturing systems. The digital twin comprises two parts, the semi-physical simulation that maps data of the system and provides input data to the second part, which is optimization. The results of the optimization part are fed back to the semi-physical simulation for verification. Open-architecture machine tool (OAMT) is defined and developed as a new class of machine tools comprising a fixed standard platform and various individualized modules that can be added and rapidly swapped. Engineers can flexibly reconfigure the manufacturing system for catering to process planning by integrating personalized modules into its OAMTs. Key enabling techniques, including how to twin cyber and physical system and how to quickly bi-level program the production capacity and functionality of manufacturing systems to adapt rapid changes of products, are detailed. A physical implementation is conducted to verify the effectiveness of the proposed approach to achieving improved system performance while minimizing the overheads of the reconfiguration process by automating and rapidly optimizing it.""
}"	Included	Excluded	new_screen	IC1: A least one testing technique is described		2	Scopus Signed In	2020.0	Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model	https://www.sciencedirect.com/science/article/pii/S073658451930167X	Science Direct	nan; References
